facility_id,unplanned_score_edac_30_ami,unplanned_score_edac_30_hf,unplanned_score_edac_30_pn,unplanned_score_hybrid_hwr,unplanned_score_op_32,unplanned_score_op_35_adm,unplanned_score_op_35_ed,unplanned_score_op_36,unplanned_score_readm_30_ami,unplanned_score_readm_30_cabg,unplanned_score_readm_30_copd,unplanned_score_readm_30_hf,unplanned_score_readm_30_hip_knee,unplanned_score_readm_30_pn,unplanned_flag_edac_30_ami,unplanned_flag_edac_30_hf,unplanned_flag_edac_30_pn,unplanned_flag_hybrid_hwr,unplanned_flag_op_32,unplanned_flag_op_35_adm,unplanned_flag_op_35_ed,unplanned_flag_op_36,unplanned_flag_readm_30_ami,unplanned_flag_readm_30_cabg,unplanned_flag_readm_30_copd,unplanned_flag_readm_30_hf,unplanned_flag_readm_30_hip_knee,unplanned_flag_readm_30_pn
050746,,-21.9,55.3,14.5,,,,,14.3,,,19.2,,16.5,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,no different than the national rate,number of cases too small,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
050747,,,13.2,16.1,,,,,,,,,,16.5,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
050748,,,,14.4,,,,,,,,,,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,number of cases too small
050755,,40.1,74.0,15.8,,,,,14.0,,19.3,22.4,4.4,17.8,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
050758,,4.0,110.1,15.3,12.8,,,,,,,19.9,,19.2,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,,worse than the national rate
050760,,,143.5,15.5,,,,,,,,,,18.1,number of cases too small,number of cases too small,more days than average per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
050761,43.6,10.1,30.6,15.7,,,,0.9,14.4,11.5,17.1,20.5,4.7,17.3,more days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
050763,,39.7,30.3,19.1,,,,,,,18.4,19.8,,16.9,,average days per 100 discharges,more days than average per 100 discharges,worse than the national rate,number of cases too small,,,number of cases too small,,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
050764,-17.9,-19.4,27.4,15.9,14.7,,,1.3,13.8,10.0,18.5,20.3,6.7,18.6,fewer days than average per 100 discharges,fewer days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,worse than the national rate
050765,,,,14.9,,,,,,,,,,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,,,,number of cases too small,number of cases too small,,,number of cases too small,,number of cases too small
050766,,,,14.6,,,,0.8,,,,,5.7,,,,,no different than the national rate,,,,no different than expected,,,,,no different than the national rate,
050767,,,,15.0,,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small
050769,,,,12.8,,,,0.9,,,,,4.0,,,,,no different than the national rate,,,,no different than expected,,,,,no different than the national rate,
050770,0.8,62.9,18.5,16.4,13.7,,,1.0,13.2,10.0,18.4,22.2,,16.2,average days per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,worse than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
050771,,23.3,-11.7,15.2,,,,,,,,20.3,,16.0,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
050772,,,,14.7,,,,,,,,,,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,number of cases too small
050775,-1.5,-17.1,11.8,15.3,13.6,,,0.9,13.5,9.9,18.2,19.1,5.3,16.7,average days per 100 discharges,fewer days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
050776,,8.2,-8.2,15.2,13.8,,,,,,18.4,20.3,,15.9,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
050777,,147.2,,15.3,,,,,,,,20.3,,,number of cases too small,more days than average per 100 discharges,number of cases too small,no different than the national rate,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,number of cases too small
050779,,-26.5,67.6,14.9,,,,,,,18.4,19.5,,17.0,number of cases too small,fewer days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
050780,,-20.8,-34.9,14.9,,,,,,,,19.2,,15.6,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
050782,,,-34.0,15.0,12.3,,,1.0,,,,,4.6,15.7,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,number of cases too small,,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate
050783,,-26.6,-20.6,14.0,,,,,,,18.5,19.4,,15.3,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,number of cases too small,,,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
050784,,50.1,12.6,15.0,,,,0.9,,,,20.6,,16.2,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,,,,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
050785,,,,14.5,,,,,,,,,3.8,,,,,no different than the national rate,,,,number of cases too small,,,,,no different than the national rate,
050855,,,,15.2,,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,,,,number of cases too small,,,,number of cases too small,,number of cases too small
05114F,47.2,2.0,12.4,14.8,,,,,14.8,,18.4,19.1,4.0,16.5,more days than average per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,,,,,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
05127F,14.1,26.0,-5.6,14.7,,,,,14.2,,18.8,20.9,6.0,13.7,average days per 100 discharges,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,,,,,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
05128F,72.3,16.5,55.8,16.0,,,,,15.0,,20.0,20.6,5.6,18.7,more days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,worse than the national rate,,,,,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,worse than the national rate
051301,,20.0,28.9,15.6,14.1,,,,,,,19.6,,16.7,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
051302,,,,14.9,,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,,,,,,,number of cases too small,number of cases too small,,number of cases too small
051303,,,,15.1,,,,,,,,,5.0,,,number of cases too small,number of cases too small,no different than the national rate,,number of cases too small,number of cases too small,,,,number of cases too small,number of cases too small,no different than the national rate,number of cases too small
051304,,,57.5,15.2,,,,,,,,,,16.2,number of cases too small,number of cases too small,more days than average per 100 discharges,no different than the national rate,,,,,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
051305,,,-19.0,14.9,,,,,,,,,,15.7,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,,number of cases too small,number of cases too small,,number of cases too small,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate
051306,,,-52.3,15.4,,,,,,,,,,15.3,,number of cases too small,fewer days than average per 100 discharges,no different than the national rate,,,,,,,number of cases too small,number of cases too small,,no different than the national rate
05130F,-5.0,19.6,38.4,14.4,,,,,13.1,,19.8,19.5,4.2,16.5,average days per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,,,,,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
